"SLFCHG01","SLFCHG02","SLFCHG03","SLFCHG04","CSSRAT01","CSSRAT07","SUCCESS4","SATIS13","SATIS01","SATIS02","SATIS07","SATIS15","SATIS25","CSSRAT16","GENACT05","COLACT19","COLACT17","FATHEDUC","MOTHEDUC","RACEGROUP","UndrRepStud_RC","FINCON_RC","FirstGen_RC","INCOME","HSGPA","CITIZEN","PLANLIVE","DSstud_RC","SIFRAT01","SIFRAT07","SIFMAJA","CSSHPW01","CSSHPW02","CSSHPW03","CSSHPW05","CSSHPW08","HistDisadv"
4,4,4,4,4,4,2,2,2,2,2,2,2,4,2,1,1,8,6,3,1,2,0,11,6,1,3,1,4,4,5,5,5,8,4,1,0.0329556909121662
5,5,5,5,3,5,3,5,5,5,4,3,3,4,3,1,1,8,3,3,1,1,0,1,6,1,3,1,4,5,2,8,8,6,5,4,0.9181035019945
5,5,5,5,4,5,2,3,3,3,3,3,4,1,2,1,1,5,5,2,0,1,1,14,6,2,3,1,4,4,13,3,5,5,5,3,-0.602593539567094
4,4,4,3,3,3,3,4,3,4,3,5,3,4,3,1,1,2,1,2,0,1,1,3,8,2,3,1,5,2,1,5,8,4,3,2,0.622611015533114
4,4,5,4,3,4,2,2,4,3,5,4,4,4,2,1,2,5,8,5,1,2,0,10,4,2,3,1,4,3,14,4,6,8,5,8,0.06466465999476
5,5,5,5,3,4,2,5,5,4,5,5,5,5,2,1,1,8,8,2,0,1,0,5,5,1,3,1,3,4,2,5,5,5,4,3,0.451803169632365
5,5,5,5,4,5,3,3,3,3,4,4,4,4,3,1,2,1,1,2,0,1,1,2,7,1,1,1,3,5,7,6,3,3,2,4,0.798079133891199
4,4,4,4,3,3,3,4,4,3,4,3,4,4,3,1,1,2,5,2,0,2,1,7,5,2,3,1,3,3,4,5,7,5,1,3,0.377216889563894
5,5,5,4,4,4,2,2,4,4,5,4,4,5,1,2,2,2,2,3,1,2,1,5,1,2,1,1,2,3,6,5,1,3,1,1,0.599732151275174
4,4,5,4,3,4,2,4,4,2,4,3,4,4,3,1,1,3,1,3,1,2,1,2,7,2,3,1,4,5,3,7,5,7,4,3,0.86701365910811
3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,1,1,1,1,3,1,2,1,5,7,2,3,1,3,4,5,4,4,4,4,4,0.599732151275174
5,5,5,5,3,5,3,4,4,2,4,5,5,5,2,1,2,5,4,5,1,0,1,14,5,2,3,1,3,4,3,5,5,5,1,1,-0.611197569168275
5,4,5,5,4,4,3,5,4,5,5,5,4,3,3,1,1,8,8,2,0,0,0,2,6,1,3,1,4,4,3,5,5,5,3,3,0.627362733274255
5,5,5,5,3,4,2,3,4,4,4,3,4,4,3,1,1,6,3,2,0,1,1,5,3,1,3,1,3,4,16,4,3,5,3,3,0.53724180833509
4,5,5,5,3,3,2,4,4,1,5,5,5,3,2,1,1,8,6,2,0,2,0,5,7,1,3,1,4,5,8,6,6,4,1,1,0.527258795787711
5,4,4,4,4,4,3,5,4,4,4,4,5,3,3,1,2,8,3,3,1,0,0,7,8,1,6,1,5,5,3,6,7,6,1,4,0.285494645076088
5,5,5,5,3,3,3,4,3,2,2,4,3,4,1,1,1,6,3,1,0,1,1,2,7,2,3,1,4,5,13,5,4,4,4,4,0.721908772121187
5,4,5,5,4,3,3,4,4,3,4,5,5,4,2,1,1,6,6,2,0,0,1,13,7,2,3,1,3,4,16,4,6,7,4,4,-0.514971661069341
5,5,5,5,4,5,2,5,5,5,4,5,4,5,3,1,2,1,1,2,0,1,1,4,7,2,3,1,4,4,8,7,6,7,2,5,0.537318103191587
5,4,5,5,4,5,3,4,4,4,4,4,4,4,2,1,1,8,3,4,1,1,0,7,6,1,1,1,4,5,13,5,6,4,3,3,0.361572749354635
4,4,4,4,4,4,2,2,3,3,3,3,3,4,3,1,1,3,3,3,1,1,1,7,8,2,3,1,3,4,4,8,4,4,3,1,0.362623165178018
5,4,4,5,4,4,2,4,3,3,4,4,4,4,3,1,2,6,6,2,0,1,1,12,6,1,3,1,4,4,3,4,4,4,3,4,-0.178046376343604
4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,1,2,8,8,2,0,1,0,4,5,1,3,1,3,4,3,6,8,5,2,2,0.528745792156463
4,4,4,4,3,4,2,3,4,3,3,3,4,4,3,1,1,2,5,3,1,1,1,2,6,2,3,1,3,3,13,6,6,7,4,4,0.786453876806216
3,4,4,3,4,4,2,4,4,4,3,4,4,5,2,1,2,8,8,2,0,0,0,12,8,2,3,1,4,3,3,5,5,6,6,6,-0.448278988621203
5,5,5,5,5,5,3,5,5,5,5,5,5,5,3,1,1,1,1,3,1,1,1,10,4,2,1,1,4,4,13,8,7,6,5,1,0.0646735189765347
4,4,4,4,3,3,3,5,3,3,4,3,5,4,2,1,1,8,8,2,0,1,0,1,8,1,3,1,4,5,16,6,6,5,4,4,0.847675505067093
4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,1,2,8,8,2,0,2,0,5,8,1,1,1,5,3,2,4,7,4,2,3,0.527258795787711
4,4,4,4,3,4,2,4,4,4,3,3,4,4,2,1,1,3,1,2,0,1,1,5,8,2,1,1,4,3,14,5,4,4,1,1,0.456890433232495
4,4,5,4,3,4,3,2,1,4,4,3,2,4,3,1,1,3,3,4,1,1,1,9,3,2,3,1,3,5,7,8,8,5,1,3,0.171722347897922
5,4,5,5,4,3,2,5,4,3,4,5,5,4,2,1,2,1,8,3,1,1,0,11,8,2,3,1,4,3,9,6,7,6,5,4,-0.140983827320575
5,5,5,5,3,5,2,4,4,1,4,5,5,4,3,1,1,6,7,3,1,0,1,14,5,2,3,1,3,3,7,5,5,8,7,1,-0.611197569168275
5,5,5,5,4,4,3,4,4,2,5,4,4,3,1,1,2,8,8,2,0,1,0,1,8,1,3,1,5,4,14,6,6,5,3,4,0.847675505067093
4,4,4,4,4,4,2,4,4,3,4,4,4,4,3,1,2,1,1,2,0,0,1,8,6,1,3,1,3,4,3,5,6,7,6,3,0.209177374963365
4,4,4,4,5,2,2,2,2,3,2,2,2,4,1,1,2,8,3,2,0,0,0,12,8,2,3,1,5,5,7,5,5,7,2,3,-0.448278988621203
3,5,5,5,5,4,3,5,1,4,5,5,5,4,3,1,1,8,6,2,0,1,0,7,7,1,3,1,4,4,5,7,6,5,3,5,0.299225050924776
4,4,4,4,2,3,2,3,3,3,4,3,3,3,2,1,1,2,5,3,1,1,1,8,7,2,3,1,2,3,3,5,6,7,1,1,0.265557685454061
4,4,5,4,4,4,3,3,4,4,5,4,4,4,2,1,1,8,6,2,0,0,0,14,8,2,3,1,4,5,8,5,5,5,2,4,-0.816975370790688
